Name,Status,Last,Series,URL,URL_yd,Описание
Записки юности,Не досмотрено,6,16,https://doramatv.live/zapiski_iunosti,,"Дорама о модельном мире Кореи и подающих надежды молодых людях, которые живут в современном мире, где статус при рождении зачастую определяет всю дальнейшую жизнь. Они мечтают о недостижимой роскоши и переживают то, что свойственно юности.
Са Хе Джун (Пак Бо Гом) – реалист, мечтающий стать моделью и актером. У него яркая и теплая личность, но он также умеет объективно смотреть на мир.
Ан Чон Ха (Пак Со Дам) мечтает стать визажисткой. Она разумный, трудолюбивый человек, который хорошо оценивает свои способности. Она нелегко отрешается от того, что происходит вокруг нее, и неуклонно идет своим путем. Ее цель — избавиться от внутренней неуверенности и обрести стабильность собственными силами.
Вон Хэ Хё (Пён У Сок) – модель и актер, лучший друг Са Хе Джуна. Он добрый и воспитанный, но его тяготит жесткая конкуренция. Вон Хэ Хё работает изо всех сил над тем, что любит, поэтому ненавидит, когда люди говорят, что он получил преимущество, родившись с золотой ложкой во рту. Он считает, что попал туда, где находится, после честного и равного соревнования со своим лучшим другом.
Трансляция с 07.09.2020 по понедельникам и вторникам в 21:00
Кадры
Новые цитаты из дорамы Записки юности Всего: 10
- Почему ты так волнуешься из-за количества своих подписчиков?
- Почему я волнуюсь? У меня миллион подписчиков, они же мои фанаты…
- Эти цифры не настоящие. Хочешь знать, что реально? Когда тебе аплодируют на сцене, как Хе Чжуну.
Хё Джун/ его мать
AlikaJi
Я верила, что смогу вынести это. Но вера гораздо более хрупка, чем любовь
Ан Чон Ха
yanaasss
Мой дедушка сказал, что иногда проигрыш - это победа.
Са Хе Чжун
yanaasss
Комментарии Ответить Читать обсуждение дальше...
Lovrora
Lovrora
Посмотрела первую серию и большую часть второй через трансляцию. В итоге не поняла, то ли понравилось, то ли нет. Потом увидела сценаристку и всё стало понятно))
Просто надеюсь, что эта дорама не превратится в ""Температуру любви 2"" с шикарным кастом и вроде нормальным началом, но в итоге с невнятным треугольником, унылыми диалогами, глупыми страданиями и просто с сюжетом ни о чём
N. Z.
N. Z.
Те, кто смотрит в онгоунге, как Вам? Хотелось бы новую хорошую дораму с Пак Бо Гомом... ""Свет луны"" понравился, на ""Бойфренде"" отчаянно заскучала. Эта на что больше похожа?
AkinaSora
AkinaSora
пока нормально ,американских горок и эмоциональных качелей нет ..сюжет только набирает обороты . но не рассчитывайте на лихо закрученный сюжет ,пестрящий скандалами, интригами и расследованиями ,здесь больше упор на неспешное повествование ,скорее повседневность ,много внимания уделяется родителям героев.
N. Z.
N. Z.
AkinaSora wrote:
пока нормально ,американских горок и эмоциональных качелей нет ..сюжет только набирает обороты . но не рассчитывайте на лихо закрученный сюжет ,пестрящий скандалами, интригами и расследованиями ,здесь больше упор на неспешное повествование ,скорее повседневность ,много внимания уделяется родителям героев.
Спасибо за отзыв!
А я бы не отказалась от лихо закрученного сюжета... Мне не то чтобы скандалы нужны, но такая история, что ""Ах, боже мой! Что же будет дальше?!"" Что-то в последние годы корейцы перестали радовать.
Серафима Пекала
Серафима Пекала
как же хочется увидеть эти дорамы, что кусочками нам показывают в этой дораме!!!!!! Где, гг снимается в разных ролях!
donnaley
donnaley
Очень, очень нравится дорама. Впечатление будто сама жизнь показана на экране. Простые жизненные ситуации и тем не менее напряжение становится почти осязаемым. Трудный путь к успеху и цена, которую надо платить за него, соизмеримы ли они, справедлива ли она? Как меняет не только герой, но весь окружающий мир вокруг него. Осталось 4 серии, но я бы посмотрела, еще, как минимум, 16.
Ответить Читать обсуждение дальше...
Развернуть
Интересные факты
Первоначально главную мужскую роль предложили Чан Ки Ёну, но он отказался.
Трейлеры и дополнительные материалы
Включить видео http://vk.com/ Тизер Сабы ( Переводчик Мания )
Включить видео http://vk.com/ Тизер 2 Сабы ( Переводчик Мания )
Включить видео http://vk.com/ Тизер 4 Сабы ( Переводчик Мания )
Включить видео http://vk.com/ Тизер 5 Сабы ( Переводчик Мания )
Включить видео http://vk.com/ Сабы ( Переводчик FSG Solomon )
Включить видео http://vk.com/ Сабы ( Переводчик FSG Solomon )
Включить видео http://vk.com/ (OST) Boo Seung Kwan (SEVENTEEN) - Go Сабы ( Переводчик FSG Save our Souls )
Включить видео http://vk.com/ (OST) Chung Ha - You're In My Soul Сабы ( Переводчик FSG Kamikaze )
Включить видео http://youtube.com/ (OST) Baekhyun - Every Second Сабы
Включить видео http://vk.com/ (OST) Whee In (Mamamoo) - Shine On You Сабы ( Переводчик FSG Kamikaze )
Включить видео http://vk.com/ (OST) Kim Jae Hwan - What If Сабы ( Переводчик FSG Kamikaze )
Включить видео http://vk.com/ (OST) Bobby (iKON) - Spotlight Сабы ( Переводчик FSG Kamikaze )
Включить видео http://vk.com/ (OST) Lee Hi - Brave Enough Сабы ( Переводчик FSG Kamikaze )
Включить видео http://vk.com/ (OST) J Rabbit - Just You Сабы ( Переводчик FSG Kamikaze )
Включить видео http://vk.com/ (OST) Sejeong (Gugudan) - What My Heart Says Сабы ( Переводчик FSG Kamikaze )
Включить видео http://vk.com/ (OST) Xani - It's Ok, Because It's You Сабы ( Переводчик FSG Kamikaze )
Развернуть
Смотреть серии онлайн
Записки юности Серия 1 новое
Записки юности Серия 2
Записки юности Серия 3
Записки юности Серия 4
Записки юности Серия 5
Записки юности Серия 6
Записки юности Серия 7
Записки юности Серия 8
Записки юности Серия 9
Записки юности Серия 10
Записки юности Серия 11 новое
Записки юности Серия 12 новое
Записки юности Серия 13 новое
Записки юности Серия 14 новое
В главных ролях
Другие дорамы ведущих актеров
Золушка и четыре рыцаря
Золушка и четыре рыцаря
Свет луны, очерченный облаком
Свет луны, очерченный облаком
Ответ в 1988
Ответ в 1988
Похожее
Замок ведьмы
Замок ведьмы
Идеал
Идеал
Комната Момин
Комната Момин
Поделиться
Редактировать описание
Добавить новые серии
Добавить рецензию
Добавить обзор
Добавить цитату
Добавить похожее
Сообщить об ошибке
Последние комментарии
doyoung: только не это.. тт
prettyarchibald: У корейцев новый дорамный штамп. Милая, трудолюбивая, адекватная героиня, которая с хладнокровием убийцы говорит своему возлюбленному: ""Я люблю тебя. Давай расстанемся"". При этом пропагандируется установка: люби себя, а бывший сам со своим разбитым сердцем разберется.Только что наблюдала это в дораме о скрипачке, теперь визажист туда же. В общем, выбор главных героинь у нас не велик: либо глупая и вздорная истеричка, либо умная, рассудительная, но эгоистичная себялюбица. Не густо!
Зухрушка: Ни хочу видеть,как они расстаются(((.Поэтому дождусь последние две серии.Если расстанутся,то продолжение смотреть не буду.(((
tori2391: Согласна с пред идущем комментарием!
Iowa22: После спойлеров я даже смотреть эту серию не хочу, чтоб зря не расстраиваться ахаха
Н-А-Т-А-ша: да эти отношения никакими были с самого начала..
_angel_7: она же не профессиональный менеджер, она - новичок, и как справляться с такими сплетнями не знает. Да тупо у нее нет за спиной влиятельных людей, как у других менеджеров, да хоть возьмем этого Ли Тэ Су. Хоть он и ... несправедливый, но сейчас его компания может справится со сплетнями.
Asiabay: Ее можно понять. У нее свои амбиции есть, просить ее отказаться от ее мечты - это как просить ХеДжуна бросить карьеру. Она только открыла свое дело и упорно нарабатывает репутацию и клиентов, что будет если раскроется, что она его девушка? Она очень сильно пострадает из-за этого
_angel_7: Отношение с обычным человеком и отношение с знаменитостью - это РАЗНЫЕ ВЕЩИ! И каждый зритель должен был знать, чем все это обернется. И поэтому то, что они потихоньку начинают ссориться, мало разговаривать, мало проводить время вместе (как было в первых сериях), вообще не удивляют. Но вот... сплетни, связанные с Чарли Чоном, уже бесят. Я понимаю, что журналисты делают свою работу (и надо признать они в этом мастера). Я обожаю роль Син Дон Ми, но...
Wolfwild: До последнего оправдывала ЧонХа, ровно до конца этой серии. Но как можно быть такой эгоистичной с*й. У меня не хватает злости на нее. Если бы она любила его, то никогда бы не оставила в трудную минуту. Овца. Надеюсь это будет последний раз когда сердце ХеДжуна было разбито. Найди ты уже себе хорошую и достойную девушку!
Количество закладок
В процессе: 2184
Посмотрели: 46
В любимых: 98
Похожее
Замок ведьмы
Идеал
Комната Момин
Причудливая жизнь
Счастливая семья
Тайная жизнь
Фукуядо Хомпо - История любви в Киото
Добавить похожее Похожее
Закончил? Сделай дело!
Пользовательское Соглашение | Жалоба на контент | Для правообладателей | Реклама на сайте | О нас
ReadManga MintManga DoramaTV LibreBook FindAnime SelfManga SelfLib MoSe GroupLe"
Любовный сигнал 2,Просмотрено,6,6,https://doramatv.live/liubovnyi_signal_2,,"Дорама основана на одноименном вебтуне и рассказывает о мире, в котором было разработано особое приложение для телефонов. Сигналом оно оповещало владельца о том, что в радиусе 10 метров находится влюбленный в него человек. В центре сюжета трое молодых людей: Ким Чжо Чжо (Ким Со Хён), Хван Сон О (Сон Кан) и Ли Хе Ён (Чон Га Рам). Парни влюблены в девушку, которая изначально была влюблена в Хван Сон О. Однако затем она решила закрыть свое сердце и установила на приложение уникальную защиту, которая не позволяет определить ее истинные чувства. Пути влюбленных школьников разошлись, и встретились они лишь спустя долгое время.
Во втором сезоне, события которого происходят спустя 4 года, в приложении появились новые функции - просматривать список ""людей, которые вам понравятся"" и ""людей, которым вы понравитесь"".
Зрителям предстоит узнать ответы на множество вопросов из первого сезона: кого из парней выберет главная героиня, выжил ли разработчик приложения и сможет ли снять защиту с Чжо Чжо, чем закончится безответная любовь подруги Сон О - Юк Джо (Ким Си Ын) и т.д."
На моё имя,Просмотрено,6,6,https://doramatv.live/na_moe_imia,,"В вымышленном государстве Nameverse на телах людей написаны имена их вторых половинок.
Ю Чжэ А - симпатичный студент, специализирующийся на фотографии, который привлекает к себе внимание окружающих. Однако его мало интересуют любовь или судьба."
Однажды разрушение вошло в дверь моего дома,Не досмотрено,6,16,https://doramatv.live/odnajdy_razrushenie_voshlo_v_dver_moego_doma,,"Мёль Ман вел бурную жизнь, подчиняясь прихотям судьбы, пока не оказался на грани разрушения. Он родился между тьмой и светом: когда дышит, страны исчезают; где ходит, времена года разрушаются; когда улыбается, жизнь угасает. Всё, что он должен сделать, – это существовать, чтобы что-то разрушилось. Это не его намерение, а просто его судьба. Мёль Ман завязывает отношения с Так Дон Гён, которая проклинает весь мир и втягивает его в свою жизнь со своим яростным желанием жить.
Так Дон Гён (Пак Бо Ён) – редактор в компании, занимающейся веб-новеллами. Она живёт обычной жизнью, но однажды из-за превратностей судьбы ей приходится рискнуть своей жизнью и любовью, заключив 100-дневный контракт с Мёль Маном.
Ким Са Рам (Со Ин Гук) – посредник между богом и людьми, известный как Мёль Ман (Разрушение). Когда Так Дон Гён попадает в ловушку трагической судьбы, он решает сделать всё, чтобы спасти её.
Чха Чжу Ик (Ли Су Хёк) – главный редактор и коллега Так Дон Гён по работе. Его описывают как мастера первого поцелуя, своими сладкими словами и поведением он вдохновляет писателей веб-новелл на новые работы.
Ли Хён Гю (Кан Тэ О) – владелец кафе, живёт вместе с Чха Чжу Иком, сожалеет о своей первой любви.
На Джи На (Син До Хён) – интернет-писательница, попавшая в любовный треугольник между Чха Чжу Иком и Ли Хён Гю."
Отец по контракту,Просмотрено,6,6,https://doramatv.live/otec_po_kontraktu,,"Аён со своей сестрой всегда хотели, чтобы в их жизни был папа, но разве можно вот так взять и ""завести"" отца? И что делать, если внезапно в их жизни появляется мужчина, готовый стать их приемным отцом при том, что сам годится Аён максимум в братья?"
Принц-тритон,Просмотрено,6,6,https://doramatv.live/princ_triton,,"Хёри (Чон Шинхе) отправляется в учебную поездку в провинцию Канвон и встречает Ухёка (Мун Бин), таинственного парня, управляющего местным гостевым домом."
Ритм моего сердца,Не досмотрено,6,24,https://doramatv.live/ritm_moego_serdca,,"Мэй Вэй Вэй родилась с необычной естественной частотой тела. Поэтому от одного её взгляда парни могут быть возбуждены до такой степени, что влюбляются. Она старается скрыть эту особенность, так как хочет быть обычной как все. Но однажды идеальный парень Май Сы Чун получает ""шок"" от неё. Он - легенда плавания, общительный и смелый, но чувствительный. Что же произойдёт когда спортивный герой, который ничего не знает о любви, внезапно влюбится по уши?"
Способ ненавидеть тебя,Просмотрено,6,6,https://doramatv.live/sposob_nenavidet_tebia,,"Хан Дэ Ган (На Дже Мин) - первокурсник в университете на кафедре анимации, поклонник манги и видеоигр. Он кажется холодным и равнодушным, но на самом деле у Дэ Гана очень доброе сердце.
Однажды он попадает в странную историю, в которой ему приходится изображать парня О Ми Ри (Ким Чжи Ин) - первокурсницы, влюблённой в Го Ын Тэ (Ли Чон Вон).
Загвоздка в любовной истории Ми Ри состоит в том, что её возлюбленный - парень её лучшей подруги, Ли Да Сом (Ким Ю Джин).
Нас ждёт история запутанной университетской любви и дружбы."
"Что, если вы мой босс?",Не досмотрено,6,24,https://doramatv.live/chto__esli_vy_moi_boss_,,История любви между разборчивым генеральным директором и его временным специальным помощником.
Влюбленность,Смотрю,5,20,https://doramatv.live/vliublennost_2021,https://disk.yandex.ru/d/pIIQLEot-3qYLA/[Озвучка%20SOFTBOX]%20Влюбленность,"Историческая дорама, основанная на манхве о близнецах, рожденных во дворце. Хотя одного из близнецов бросают из-за того, что она девочка, позже она притворяется мужчиной и становится наследным принцем, когда умирает ее брат.
Ли Хви (Пак Ын Бин) притворяется своим братом – идеальным наследным принцем, искусным в литературе и боевых искусствах и с красивой внешностью. Но из-за этой тайны Ли Хви никогда не раскрывает свои чувства и сохраняет дистанцию со всеми, кто пытается приблизиться, включая дворцовых дам.
Чон Джи Ун (Роун) – учитель Ли Хви из сикангвона (учреждение, целью которого является обучение наследных принцев). Он красив, смел, настойчив и упорен, легко воспринимает жизнь и живет без проблем, как оптимист, который любит жизнь. Будучи сыном правительственного чиновника из сахонбу (следственное правительственное учреждение), его будущее, казалось, было ясно определено. Однако была причина, по которой он выбрал собственный путь, отказавшись от более легкого пути."
Меланхолия,Смотрю,5,16,https://doramatv.live/melanholiia__2021_,https://disk.yandex.ru/d/pIIQLEot-3qYLA/%5BОзвучка%20SOFTBOX%5D%20Меланхолия,"Действие происходит в частной средней школе, которая является рассадником коррупции.
Чжи Юн Су (Им Су Чжон) - учитель математики в школе. Она добродушна, но имеет сильную волю, чтобы двигаться вперед. Она призывает своих учеников найти свои собственные ответы и доказательства для математических вопросов.
Пэк Сын Ю (Ли До Хён) - ученик школы, где преподает Чжи Юн Су. Он неразговорчив, друзей в школе у него нет, а его академический балл достигает самого низа. Большую часть своего времени Сын Ю проводит с камерой, запечатлевая картины окружающего мира, но у него удивительное прошлое. С малых лет он был признан математическим гением, выигрывая многочисленные олимпиады по математике. А когда ему исполнилось10 лет, он поступил в Массачусетский технологический институт в США, но внезапно исчез в возрасте 12 лет.
Чжи Юн Су сразу замечает талантливого ученика, но ее участие в жизни студента приводит к грязным слухам, и без разбирательств ее увольняют из школы. Но судьба распорядилась иначе, и спустя годы они встретились вновь...
Главным героям предстоит столкнуться с множеством препятствий и непредвиденных обстоятельств в попытке восстановить справедливость и разоблачить коррупцию. Смогут ли они противостоять? Возможны ли отношения между бывшим учителем и учеником?"
Я стану твоей ночью,Смотрю,4,12,https://doramatv.live/ia_stanu_tvoei_nochiu,https://disk.yandex.ru/d/pIIQLEot-3qYLA/%5BОзвучка%20SOFTBOX%5D%20Я%20стану%20твоей%20ночью,"Юн Тхэ Ин (Ли Джун Ён) - мировая звезда и кумир, участник известной айдол-группы LUNA, который страдает лунатизмом. Чтобы вылечить его, частный врач (Чон Ин Сон) переезжает в общежитие группы.
В составе группы LUNA, кроме лидера и вокалиста Юн Тхэ Ина, так же басист Ли Син (ДжейА), барабанщик Ким Ю Чхан (Юн Джи Сон), клавишник Га Он (Ким Дон Хён) и гитарист Со У Ён (Чан Дон Чжу)."
Сказка о кумихо,Не досмотрено,3,16,https://doramatv.live/skazanie_o_kumiho,,"Кумихо Ли Ён (Ли Дон Ук) являлся живым божеством горного хребта горы Пэкду, но затем получил должность передаточного звена между миром живых людей и потусторонним миром. Его главная задача — навести порядок среди тех, кто нарушает мир живых, прячась за маской сказок о призраках. В людском облике он может похвастаться потрясающей внешностью, интеллектом и великолепными спортивными способностями, но при этом слишком самоуверен и временами может быть жестоким. На его пути встречается амбициозный режиссер-продюсер Нам Чжи А (Чо Бо А), которая совершенно бесстрашна, когда дело доходит до создания уникального контента.
Сводный брат Ли Ёна, Ли Ран (Ким Бом) — самый опасный кумихо, который питает глубокое презрение к людям, несмотря на то, что живет среди них. Иногда он соблазняет людей, обещая исполнять их желания, за что в конечном итоге они платят огромную цену."
ДоДоСольСольЛяЛяСоль,Не досмотрено,2,16,https://doramatv.live/dodosolsollialiasol,,"История о пианистке по имени Гу Ра Ра, которая достигла дна после краха своей семьи и Сон У Джуне - загадочном парне с жёстким характером, работающим на разных работах и с множеством секретов.
Гу Ра Ра - незрелая и озорная пианистка. Она простая, уверенная в себе, яркая и милая, способная смеяться, независимо от того, насколько ужасна ситуация. Любит шутить и непредсказуемо вести себя даже в серьезные моменты, поскольку прожила жизнь без страха, имея возможность покупать всё, что пожелает."
Семидневный роман 2,Не досмотрено,2,10,https://doramatv.live/semidnevnyi_roman_2,,"Что заставило наших героинь снова поменяться жизнями и какие испытания уготовила для них эта неделя, похожая на сон?"
Теплая летняя ночь Цзюня и Нуань,Не досмотрено,2,24,https://doramatv.live/teplaia_letniaia_noch_cziunia_i_nuan,,"Первокурсница Су Нуань Ся полна решимости выполнить последнее желание своего отца-тренера – восстановить баскетбольную команду и привести её к победе над соперниками Шэньхуа.
Однажды девушка случайно обнаруживает, что ученик Цзюнь Е обладает отличными навыками. Она пытается завербовать его в команду любой ценой, но парень, похоже, не заинтересован в этом, да и другие ученики не спешат в команду к девушке, потому что не верят в ее силы, т.к она девушка.Сможет ли она исполнить мечту своего покойного отца и какие трудности ожидают ее на этом пути?"
Школа 2021,Смотрю,2,16,https://doramatv.live/shkola_2021,https://disk.yandex.ru/d/951i3xJYuiOnPQ,"На этот раз в центре сюжета учеба в профессионально-технической школе, ученики которой не будут поступать в колледж, как многие другие.
Ким Тхэ Чжин когда-то был подающим большие надежды тхэквондистом, но травма ноги перечеркнула всего его надежды. В то же время бизнес его отца обанкротился, и ему пришлось поступить в профессионально-техническую школу. Он не по годам взрослый, но совершенно не знает как вести себя с симпатичными девушками.
Чжу До Бин – трудолюбивый студент, подружившийся с Тхэ Чжином, хоть у них и мало общего.
На Гым Ён – студентка второго курса. Она обучается кулинарии и мечтает стать известным ютубером. Ее отец владеет караоке-баром на окраине города."
Мой законный муж,Не досмотрено,1,15,https://doramatv.live/moi_zakonnyi_muj,,"Мэй - милая и добрая девушка, которая живёт у лучшей подруги матери. Она безответно влюблена в сына своей благодетельницы по имени Тиен. Парень постоянно шутит, насмехается и издевается над ней. Несмотря на это, девушка готова ему всё простить из-за своей любви.
Внезапно Тиену и Мэй приходится пожениться, чтобы спасти героя от назойливого внимания жены властного человека. Тиен не любит Мэй, не видит в ней женщину, так как они выросли вместе, и воспринимает женитьбу как каторгу. Он мечтает, чтобы его женой стала идеальная женщина, которой Мэй в его глазах не являтся. Вскоре парень узнает, что Мэй питает к нему безответную любовь. Это заставляет его ещё сильнее желать развода. Ему нужен идеал, а она уже нашла своего принца в лице Тиена... Станет ли этот фиктивный брак настоящим? Удастся ли Тиену не влюбиться в свою жену?"
"Эй, учитель, вы разве не знаете?",Не досмотрено,1,6,https://doramatv.live/ei__uchitel__vy_razve_ne_znaete_,,"История любви начинающей мангаки Ханаи Ао, у которой отсутсвует какой-либо опыт в романтических отношениях, и Кидо Ричи, популярным и харизматичным стилистом."
#Хэштег любви,В планах,0,7,https://doramatv.live/_heshteg_liubvi,,"История о взаимоотношении полов в век личных сообщений, комментариев, лайков и хэштегов."
Аватар короля,В планах,0,40,https://doramatv.live/the_king_s_avatar,,"В онлайн-игре ""Слава"" Е Сю известен как эксперт экстра-класса и топовый игрок, но из-за ряда обстоятельств его выгоняют из команды профи. После провала Е Сю устраивается в одном интернет-кафе менеджером. А когда ""Слава"" запускает десятый сервер, он снова погружается в игровые пучины, вооружённый десятилетним опытом, воспоминаниями о былом и недоделанным самодельным оружием. Его восхождение к вершине начинается."
Во имя семьи,В планах,0,40,https://doramatv.live/vo_imia_semi,,"Трое из неблагополучных семей, не связанные кровными узами, относятся друг к другу как к семье, поскольку ощущают потребность в любви, которую не находят дома. Старший брат Лин Сяо, второй брат Хэ Цзыцю и младшая сестра Ли Цзяньцзянь растут вместе, поддерживают друг друга, постепенно исцеляя свои внутренние раны и принимая прошлое."
Девушка с огоньком,Не досмотрено,0,,https://doramatv.live/devushka_s_ogonkom,,"Дао должна выйти замуж за Парама, но она категорически против, потому что никогда не видела его и не знает, какой он человек. С целью получения информации она приступает к плану ""Разведка боем"", а именно... маскируется и устраивается к нему на работу под другим именем..."
Его и её сценарий любви,В планах,0,36,https://doramatv.live/ego_i_ee_scenarii_liubvi,,"Чжу Сюаньвэнь (Вань Янь Ло Жун) – мужчина, обладающий благородной внешностью и множеством достоинств. Жаль, что он заболел неврозом в молодом возрасте - после необъяснимой автомобильной аварии он впадает в бредовое состояние и считает себя принцем. С тех пор он больше не заботится о деятельности своей компании и концентрируется на том, чтобы стать императором.
Ло Хуай (Чжуан Да Фэй) – врач-психиатр на грани банкротства. Из-за потребности в деньгах она взяла на себя ответственность за лечение Чжу Сюаньвэня. Однако она не ожидала, что её мирные дни когда-нибудь закончатся. Проводя время вместе, они начали влюбляться друг в друга."
Закон чести,В планах,0,14,https://doramatv.live/zakon_chesti,,"После смерти родителей Палай хочет доказать, что их гибель не случайность, а убийство. Она не только потеряла родителей, но и лишилась дома, компании, денег, которые ее тетя получила, опираясь на закон. Она хочет прояснить ситуацию и доказать, что ее тетя и отец Сивы все подстроили. Палай угрожает Сиве, что вышлет в газеты всю информацию со своего сайта о корпорации его отца, если он на ней не женится. Взамен обещает сказать ему код к этому сайту. Она хотела выйти замуж за Сиву, чтобы попасть в их дом и найти доказательства. И это только начало ее мести."
Зеленая весна вдали,В планах,0,12,https://doramatv.live/blue_spring_from_a_distance,,"История о жизни студентов колледжа.
Ё Джун (Пак Джи Хун) – первокурсник колледжа из богатой семьи, не получавший достаточно любви от своих родителей.
Ким Со Бин (Кан Мин А) – честная и трудолюбивая студентка , которая после развода родителей живёт с отцом.
Нам Су Хён (Пэ Ин Хёк) – студент перфекционист. Он красив и имеет отличные оценки по всем предметам. У Нам Су Хёна тяжелое финансовое положение, он работает на разных подработках, чтобы прокормить себя, мать, младшего брата и сестру. В силу своего положения он циничен к людям."
Императорский коронер,В планах,0,36,https://doramatv.live/imperatorskii_koroner,,"Девушка Чу Чу из семьи коронеров встречает принца Сяо, ответственного за дела о насильственных преступлениях. Сяо Цзиньюй кажется слабым и болезненным и ему не хватает надёжных людей для расследования дела. Впоследствии он нанимает Чу Чу в качестве своего помощника. Вместе им удаётся раскрыть шокирующее дело, которое затянулось на 18 лет."
Искра любви,В планах,0,24,https://doramatv.live/iskra_liubvi,,"Мэй Вэй Вэй родилась с необычной естественной частотой тела. Поэтому от одного её взгляда парни могут быть возбуждены до такой степени, что влюбляются. Она старается скрыть эту особенность, так как хочет быть обычной как все. Но однажды идеальный парень Май Сы Чун получает ""шок"" от неё. Он - легенда плавания, общительный и смелый, но чувствительный. Что же произойдёт когда спортивный герой, который ничего не знает о любви, внезапно влюбится по уши?"
Класс чтения,В планах,0,40,https://doramatv.live/klass_chteniia,,"У Цзяшу, умная и начитанная девушка, заключает контракт со знаменитостью Лу Синчэнем, который должен поддерживать имидж «хорошего ученика». Она тайно наставляла его и помогала подготовиться к появлению на телешоу «Класс чтения», а Лу Синчэнь помогал ей выплатить долги и сохранить ее книжный магазин. На уроке чтения они также знакомятся со многими материалами, с историями людей, написавших эти книги, а также они помогают другим решить сложные жизненные проблемы. Проводя время вместе, постепенно они начинают испытывать чувства друг к другу."
Класс ютуберов,В планах,0,0,https://doramatv.live/klass_iutuberov,,"Что если бы в школе был специальный класс, в котором учились те, кто хотят стать ютуберами?
Три друга и учитель. Проект ""стань ютубером"" начинается."
Легенда о Фэй,В планах,0,51,https://doramatv.live/legenda_o_fei,,"Много лет назад мир боевых искусств захлёбывался в крови. Но шло время, и получивший высочайший указ герой по имени Ли Чжи сумел усмирить разбойников, и с тех пор в сорока восьми крепостях, состоявших из героев с «подпорченной репутацией», царит мир. Неукротим бег времени, и после смерти Ли Чжи именитые семьи, хранящие тайны боевых искусств, стали терпеть поражение одна за другой. Дочь Ли Чжи, Ли Цзиньжун, ставшая хранительницей одной из крепостей после отца, родила девочку в браке с учёным Чжоу Итаном. Только что появившееся на свет дитя нарекли Чжоу Фэй. Вот только родилась девочка во времена, когда слава прежних поколений меркнет, сметённая новыми проблемами.
В тринадцать лет сбежавшая из дому Чжоу Фэй падает в реку, откуда её чудом спасает юноша по имени Се Юнь. Молодые люди, сами того не подозревая, запускают цепь судьбоносных событий, цель которых — вновь и вновь сводить их вместе. Этим двоим предстоит совершить длительное путешествие по миру боевых искусств, встретив на своём пути немало опасностей, коварных завистников и мудрых наставников, а куда приведёт их эта дорога — ведомо лишь Судьбе."
Любовь начинается с брака,В планах,0,35,https://doramatv.live/liubov_nachinaetsia_s_braka,,"Находясь под давлением семьи, Лу Фан Нин, генеральный директор компании по производству товаров для дома, выбирает в качестве партнера по браку и на роль отца ребенка Лин Жуи, хирурга с добрым сердцем."
Мстители из Буам-дон,В планах,0,12,https://doramatv.live/avengers_social_club,,"Ким Чон Хе (Ли Ё Вон) - наследница большой компании. Она кажется высокомерной и циничной, но на самом деле наивная и добродушная. Ее брак был заключен по расчету для выгоды семьи, но несмотря на это, Чон Хе старается быть хорошей женой. Однажды она узнает, что муж изменяет ей, и решает отомстить. Ради этого создает ""Клуб мстителей"". К ней присоединяются Хон До Хи, Ли Ми Сук и Ли Су Гём, у которых тоже есть причины для мести.
Хон До Хи (Ра Ми Ран) - продавщица рыбы на рынке. Она мечтает отомстить хулиганам, которые издевались над ее сыном в школе.
Ли Ми Сук (Мён Се Бин) - обычная домохозяйка, которая пытается жить счастливой жизнью, но ее муж жесток к ней.
Ли Су Гём (Ли Джун Ён) мечтает отомстить своим биологическим родителям. Его настоящий отец - муж Ким Чон Хе."
На коньках навстречу любви,В планах,0,40,https://doramatv.live/na_konkah_navstrechu_liubvi,,"Тан Сюэ и Ли Юй Бин знакомы с младшей школы и знакомство это было весьма своеобразным. Тан Сюэ всячески доставала робкого и стеснительного Ли Юй Бина.
Теперь они встретились в университете, когда Ли Юй Бин стал признанным богом хоккея, а Тан Сюэ может лишь мечтать об успехах на льду. Наконец Ли Юй Бин может сполна отомстить своей давней обидчице. А может всё не так просто?"
Неожиданная любовь,В планах,0,24,https://doramatv.live/neojidannaia_liubov,,"Когда три года назад ужасный несчастный случай унес жизнь его матери, Сюй Но (Фань Ши Ци) так и не смог полностью оправиться от шока. С того дня Сюй Но живет с аффективным расстройством, настолько тяжелым, что он потерял всякую связь со своими эмоциями. Неспособный смеяться, плакать или даже любить, Сюй Но не имеет возможности общаться с другими людьми, так как он потерял всякую способность сопереживать другим. Неспособный испытывать чувство вины или раскаяния, он стал жестоким боссом, когда дело доходит до бизнеса. Несмотря на то, что он известен своей хорошей работой, его методы сделали его мишенью нескольких недовольных людей.
Когда необходимость в защите становится очевидной, Сюй Но начинает искать телохранителя. Среди многих претендентов на эту работу есть Кэ Си И (Ци Янь Ди), специалист по экономике, которая втайне мечтает стать профессиональным бойцом. Обладая невероятно отточенными чувствами и молниеносными рефлексами, Си И легко справляется с заданием.
По мере того, как отношения между ними растут, давно потерянные эмоции Сюй Но постепенно начинают возвращаться, и, когда они появляются, появляется целый новый мир возможностей. Но в этом новом мире Сюй Но должен спросить себя, способен ли он принять чувства, которые у него, кажется, появились к Си И?"
